cliente_id;fecha_registro;departamento;ciudad;edad;genero;estrato;nivel_educativo;ocupacion;ingreso_mensual_estimado;ingreso_mensual_bi;flag_ingreso;canal_adquisicion;score_externo;tiene_producto_ahorro;numero_dependientes;dispositivo_principal
CL00001;2024-03-25;Valle del Cauca;Cali;41;M;1;Técnico/Tecnólogo;Comerciante;1600000,0;1600000,0;normal;Campaña digital;444,0;False;2;Android
CL00002;2025-09-27;Tolima;Ibagué;35;F;3;Técnico/Tecnólogo;Pensionado;3310000,0;3310000,0;normal;Referido;580,0;False;3;iOS
CL00003;2024-01-19;Bogotá D.C.;Bogotá;42;F;2;Universitario;Independiente;2350000,0;2350000,0;normal;Campaña digital;564,0;False;0;iOS
CL00005;2025-12-12;Cundinamarca;Soacha;34;F;1;Universitario;Empleado;910000,0;910000,0;normal;Aliado comercial;515,0;False;2;Android
CL00006;2024-03-12;Valle del Cauca;Cali;34;F;2;Técnico/Tecnólogo;Empleado;3440000,0;3440000,0;normal;Referido;466,0;True;0;iOS
CL00007;2025-03-21;Antioquia;Medellín;52;M;3;Universitario;Conductor/Repartidor;3860000,0;3860000,0;normal;App orgánico;600,0;True;0;Android
CL00008;2023-12-30;Cundinamarca;Soacha;44;F;4;Técnico/Tecnólogo;Desempleado;1500000,0;1500000,0;normal;Campaña digital;456,0;True;0;Android
CL00010;2024-12-10;Cundinamarca;Soacha;41;F;3;Posgrado;Conductor/Repartidor;2570000,0;2570000,0;normal;Referido;576,0;True;0;Android
CL00011;2025-07-30;Antioquia;Medellín;31;F;4;Técnico/Tecnólogo;Desempleado;1300000,0;1300000,0;normal;Referido;573,0;False;1;Android
CL00012;2024-01-24;Antioquia;Medellín;31;M;4;Universitario;Empleado;3510000,0;3510000,0;normal;Campaña digital;665,0;False;0;Android
CL00013;2024-10-26;Valle del Cauca;Cali;38;M;5;Técnico/Tecnólogo;Empleado;4670000,0;4670000,0;normal;Aliado comercial;692,0;False;0;Android
CL00014;2025-09-30;Cundinamarca;Soacha;19;F;1;Técnico/Tecnólogo;Estudiante;760000,0;760000,0;normal;App orgánico;435,0;False;3;Android
CL00015;2026-01-02;Antioquia;Medellín;19;M;4;Bachiller;Empleado;2970000,0;2970000,0;normal;App orgánico;506,0;False;4;iOS
CL00016;2023-03-05;Atlántico;Barranquilla;30;F;2;Sin información;Empleado;2340000,0;2340000,0;normal;Aliado comercial;577,0;True;1;Web
CL00017;2024-11-22;Caldas;Manizales;26;F;2;Técnico/Tecnólogo;Empleado;3690000,0;3690000,0;normal;App orgánico;658,0;False;1;iOS
CL00018;2024-03-23;Antioquia;Medellín;39;M;5;Bachiller;Comerciante;2890000,0;2890000,0;normal;Referido;651,0;False;1;Android
CL00020;2023-08-14;Bogotá D.C.;Bogotá;22;M;5;Universitario;Empleado;4890000,0;4890000,0;normal;Referido;706,0;True;2;Android
CL00023;2025-11-13;Cundinamarca;Soacha;37;F;5;Sin información;Empleado;3930000,0;3930000,0;normal;Referido;669,0;False;0;Android
CL00026;2025-10-21;Santander;Bucaramanga;37;F;3;Técnico/Tecnólogo;Independiente;3070000,0;3070000,0;normal;Aliado comercial;618,0;False;0;Android
CL00027;2023-05-23;Bogotá D.C.;Bogotá;24;F;5;Técnico/Tecnólogo;Independiente;3560000,0;3560000,0;normal;Call center;616,0;True;1;iOS
CL00028;2025-11-13;Santander;Bucaramanga;40;F;4;Sin información;Estudiante;1080000,0;1080000,0;normal;Referido;548,0;False;0;iOS
CL00029;2024-05-09;Norte de Santander;Cúcuta;30;F;2;Técnico/Tecnólogo;Microempresario;3800000,0;3800000,0;normal;Call center;645,0;False;0;Android
