credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo,es_moroso,probabilidad_mora,prediccion_mora,fecha_id
CR000001,CL00001,2025-03-25,Crédito libre inversión,2000000,9,0.0301,257000,App,677,0.1606,Automática,Finalizado,0,0.5839307699351305,1,20250325
CR000002,CL00002,2025-09-08,Avance de nómina,2150000,3,0.0261,754000,Web,859,0.2278,Automática,Finalizado,0,0.40118755106901843,0,20250908
CR000003,CL00003,2024-06-28,Microcrédito,4350000,6,0.0398,829000,Aliado,805,0.3528,Manual,Mora moderada,1,0.4758718571691372,0,20240628
CR000004,CL00003,2024-03-22,Avance de nómina,950000,12,0.0233,92000,App,861,0.0391,Automática,Finalizado,0,0.5749565977155832,1,20240322
CR000005,CL00003,2026-01-30,Crédito consumo digital,1450000,9,0.0211,179000,Aliado,865,0.0762,Automática,Activo,0,0.27975352630127714,0,20260130
CR000006,CL00005,2026-01-28,Microcrédito,1300000,6,0.0253,236000,App,776,0.2593,Automática,Mora moderada,1,0.5467284603694671,1,20260128
CR000007,CL00006,2024-08-11,Crédito libre inversión,3800000,12,0.0293,380000,Web,867,0.1105,Automática,Finalizado,0,0.673205187585204,1,20240811
CR000008,CL00007,2025-06-24,Crédito libre inversión,10800000,12,0.0319,1098000,Aliado,875,0.2845,Automática,Mora severa,1,0.6873271839782134,1,20250624
CR000009,CL00008,2024-10-19,Microcrédito,1300000,18,0.0314,96000,App,606,0.064,Manual,Mora severa,1,0.7843729326427541,1,20241019
CR000010,CL00010,2025-04-16,Crédito libre inversión,2100000,24,0.0336,129000,App,874,0.0502,Automática,Mora moderada,1,0.6412492905470825,1,20250416
CR000011,CL00011,2025-09-11,Crédito consumo digital,350000,12,0.0252,34000,App,783,0.0262,Automática,Activo,0,0.6179900503890462,1,20250911
CR000012,CL00011,2026-01-11,Crédito libre inversión,1300000,12,0.0315,132000,Web,756,0.1015,Automática,Activo,0,0.3086754019282153,0,20260111
CR000013,CL00012,2025-03-29,Crédito libre inversión,6300000,9,0.0268,797000,Web,870,0.2271,Automática,Finalizado,0,0.3385219488302486,0,20250329
CR000014,CL00013,2026-01-19,Crédito consumo digital,1700000,6,0.0259,310000,App,866,0.0664,Automática,Activo,0,0.2855260101193327,0,20260119
CR000015,CL00014,2026-02-12,Crédito consumo digital,600000,3,0.0222,209000,Web,610,0.275,Manual,Activo,0,0.30074609134380004,0,20260212
CR000016,CL00015,2025-12-14,Crédito consumo digital,1400000,12,0.0286,139000,App,836,0.0468,Automática,Activo,0,0.5528019481562232,1,20251214
CR000017,CL00015,2025-12-13,Crédito libre inversión,4400000,6,0.022,791000,Web,727,0.2663,Automática,Mora severa,1,0.669041989932034,1,20251213
CR000018,CL00015,2025-12-05,Crédito consumo digital,1450000,9,0.0377,193000,App,868,0.065,Automática,Activo,0,0.4386599122404454,0,20251205
CR000019,CL00016,2024-11-14,Crédito libre inversión,4350000,9,0.0309,561000,App,857,0.2397,Automática,Finalizado,0,0.5088983454257395,1,20241114
CR000020,CL00017,2025-10-17,Crédito consumo digital,4200000,9,0.0275,533000,App,894,0.1444,Automática,Activo,0,0.26747154449095595,0,20251017
CR000021,CL00018,2024-11-27,Crédito consumo digital,850000,6,0.0234,154000,Call center,874,0.0533,Automática,Finalizado,0,0.31843809638154313,0,20241127
CR000022,CL00020,2025-04-07,Crédito consumo digital,1950000,3,0.034,695000,Aliado,900,0.1421,Automática,Finalizado,0,0.25439850456088803,0,20250407
CR000023,CL00023,2026-01-26,Crédito consumo digital,4100000,9,0.0322,532000,App,900,0.1354,Automática,Activo,0,0.29543702968778973,0,20260126
CR000024,CL00026,2025-10-28,Crédito consumo digital,2050000,12,0.0308,207000,App,867,0.0674,Automática,Activo,0,0.28916948670137815,0,20251028
CR000025,CL00027,2024-03-03,Crédito consumo digital,1300000,12,0.0248,127000,App,845,0.0357,Automática,Mora severa,1,0.49763393893605407,0,20240303
CR000026,CL00028,2025-05-15,Crédito consumo digital,850000,12,0.0212,81000,Aliado,708,0.075,Automática,Mora severa,1,0.6719898820184683,1,20250515
CR000027,CL00028,2025-10-03,Crédito libre inversión,1950000,6,0.0311,361000,Aliado,667,0.3343,Automática,Finalizado,0,0.6516175261758089,1,20251003
CR000028,CL00028,2025-12-20,Crédito libre inversión,2550000,6,0.0284,468000,App,661,0.4333,Manual,Activo,0,0.6191236819839557,1,20251220
CR000029,CL00029,2025-10-10,Crédito consumo digital,3300000,6,0.0322,614000,App,877,0.1616,Automática,Finalizado,0,0.268965852783461,0,20251010
CR000030,CL00030,2025-12-18,Crédito libre inversión,4350000,12,0.0217,416000,App,864,0.1195,Automática,Activo,0,0.44733063621284286,0,20251218
CR000031,CL00031,2026-01-29,Crédito libre inversión,9600000,18,0.0204,643000,Aliado,900,0.1448,Automática,Activo,0,0.44182638756205617,0,20260129
CR000032,CL00033,2025-08-11,Crédito consumo digital,4000000,12,0.0383,422000,App,900,0.1275,Automática,Activo,0,0.42279107239706204,0,20250811
