cliente_id;fecha_registro;departamento;ciudad;edad;genero;estrato;nivel_educativo;ocupacion;ingreso_mensual_estimado;ingreso_mensual_bi;flag_ingreso;canal_adquisicion;score_externo;tiene_producto_ahorro;numero_dependientes;dispositivo_principal;creditos_total;creditos_morosos;monto_total_credito;monto_promedio_credito;probabilidad_mora_promedio;probabilidad_mora_max;ultima_fecha_desembolso;tasa_mora_cliente
CL00001;2024-03-25;Valle del Cauca;Cali;41;M;1;Técnico/Tecnólogo;Comerciante;1600000,0;1600000,0;normal;Campaña digital;444,0;False;2;Android;1;0;2000000;2000000,0;0,5839307699351305;0,5839307699351305;2025-03-25;0,0
CL00002;2025-09-27;Tolima;Ibagué;35;F;3;Técnico/Tecnólogo;Pensionado;3310000,0;3310000,0;normal;Referido;580,0;False;3;iOS;1;0;2150000;2150000,0;0,40118755106901843;0,40118755106901843;2025-09-08;0,0
CL00003;2024-01-19;Bogotá D.C.;Bogotá;42;F;2;Universitario;Independiente;2350000,0;2350000,0;normal;Campaña digital;564,0;False;0;iOS;3;1;6750000;2250000,0;0,4435273270619991;0,5749565977155832;2026-01-30;0,3333333333333333
CL00005;2025-12-12;Cundinamarca;Soacha;34;F;1;Universitario;Empleado;910000,0;910000,0;normal;Aliado comercial;515,0;False;2;Android;1;1;1300000;1300000,0;0,5467284603694671;0,5467284603694671;2026-01-28;1,0
CL00006;2024-03-12;Valle del Cauca;Cali;34;F;2;Técnico/Tecnólogo;Empleado;3440000,0;3440000,0;normal;Referido;466,0;True;0;iOS;1;0;3800000;3800000,0;0,673205187585204;0,673205187585204;2024-08-11;0,0
CL00007;2025-03-21;Antioquia;Medellín;52;M;3;Universitario;Conductor/Repartidor;3860000,0;3860000,0;normal;App orgánico;600,0;True;0;Android;1;1;10800000;10800000,0;0,6873271839782134;0,6873271839782134;2025-06-24;1,0
CL00008;2023-12-30;Cundinamarca;Soacha;44;F;4;Técnico/Tecnólogo;Desempleado;1500000,0;1500000,0;normal;Campaña digital;456,0;True;0;Android;1;1;1300000;1300000,0;0,7843729326427541;0,7843729326427541;2024-10-19;1,0
CL00010;2024-12-10;Cundinamarca;Soacha;41;F;3;Posgrado;Conductor/Repartidor;2570000,0;2570000,0;normal;Referido;576,0;True;0;Android;1;1;2100000;2100000,0;0,6412492905470825;0,6412492905470825;2025-04-16;1,0
CL00011;2025-07-30;Antioquia;Medellín;31;F;4;Técnico/Tecnólogo;Desempleado;1300000,0;1300000,0;normal;Referido;573,0;False;1;Android;2;0;1650000;825000,0;0,46333272615863075;0,6179900503890462;2026-01-11;0,0
CL00012;2024-01-24;Antioquia;Medellín;31;M;4;Universitario;Empleado;3510000,0;3510000,0;normal;Campaña digital;665,0;False;0;Android;1;0;6300000;6300000,0;0,3385219488302486;0,3385219488302486;2025-03-29;0,0
