credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo,es_moroso,fecha_registro,departamento,ciudad,edad,genero,estrato,nivel_educativo,ocupacion,ingreso_mensual_estimado,canal_adquisicion,score_externo,tiene_producto_ahorro,numero_dependientes,dispositivo_principal,email_hash,antiguedad_cliente_dias,mes_desembolso,dia_semana_desembolso,prev_evento_actualizacion_datos,prev_evento_consulta_saldo,prev_evento_login,prev_evento_pago_exitoso,prev_evento_pago_fallido,prev_evento_pago_iniciado,prev_evento_simulacion_credito,prev_evento_solicitud_soporte,prev_evento_sesion_seg_tot,prev_evento_sesion_seg_avg,probabilidad_mora,prediccion_mora,ingreso_mensual_bi,flag_ingreso
CR000001,CL00001,2025-03-25,Crédito libre inversión,2000000,9,0.0301,257000,App,677,0.1606,Automática,Finalizado,0,2024-03-25,Valle del Cauca,Cali,41,M,1,Técnico/Tecnólogo,Comerciante,1600000.0,Campaña digital,444.0,False,2,Android,hash_732413,365,3,1,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,543.0,135.75,0.5839307699351305,1,1600000.0,normal
CR000002,CL00002,2025-09-08,Avance de nómina,2150000,3,0.0261,754000,Web,859,0.2278,Automática,Finalizado,0,2025-09-27,Tolima,Ibagué,35,F,3,Técnico/Tecnólogo,Pensionado,3310000.0,Referido,580.0,False,3,iOS,hash_130099,-19,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40118755106901843,0,3310000.0,normal
CR000003,CL00003,2024-06-28,Microcrédito,4350000,6,0.0398,829000,Aliado,805,0.3528,Manual,Mora moderada,1,2024-01-19,Bogotá D.C.,Bogotá,42,F,2,Universitario,Independiente,2350000.0,Campaña digital,564.0,False,0,iOS,hash_166668,161,6,4,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,1406.0,200.85714285714286,0.4758718571691372,0,2350000.0,normal
CR000004,CL00003,2024-03-22,Avance de nómina,950000,12,0.0233,92000,App,861,0.0391,Automática,Finalizado,0,2024-01-19,Bogotá D.C.,Bogotá,42,F,2,Universitario,Independiente,2350000.0,Campaña digital,564.0,False,0,iOS,hash_166668,63,3,4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,351.0,175.5,0.5749565977155832,1,2350000.0,normal
CR000005,CL00003,2026-01-30,Crédito consumo digital,1450000,9,0.0211,179000,Aliado,865,0.0762,Automática,Activo,0,2024-01-19,Bogotá D.C.,Bogotá,42,F,2,Universitario,Independiente,2350000.0,Campaña digital,564.0,False,0,iOS,hash_166668,742,1,4,1.0,3.0,7.0,2.0,0.0,3.0,1.0,0.0,2726.0,160.35294117647058,0.27975352630127714,0,2350000.0,normal
CR000006,CL00005,2026-01-28,Microcrédito,1300000,6,0.0253,236000,App,776,0.2593,Automática,Mora moderada,1,2025-12-12,Cundinamarca,Soacha,34,F,1,Universitario,Empleado,910000.0,Aliado comercial,515.0,False,2,Android,hash_782416,47,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,679.0,339.5,0.5467284603694671,1,910000.0,normal
CR000007,CL00006,2024-08-11,Crédito libre inversión,3800000,12,0.0293,380000,Web,867,0.1105,Automática,Finalizado,0,2024-03-12,Valle del Cauca,Cali,34,F,2,Técnico/Tecnólogo,Empleado,3440000.0,Referido,466.0,True,0,iOS,hash_308859,152,8,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,219.0,219.0,0.673205187585204,1,3440000.0,normal
CR000008,CL00007,2025-06-24,Crédito libre inversión,10800000,12,0.0319,1098000,Aliado,875,0.2845,Automática,Mora severa,1,2025-03-21,Antioquia,Medellín,52,M,3,Universitario,Conductor/Repartidor,3860000.0,App orgánico,600.0,True,0,Android,hash_238286,95,6,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,228.0,114.0,0.6873271839782134,1,3860000.0,normal
CR000009,CL00008,2024-10-19,Microcrédito,1300000,18,0.0314,96000,App,606,0.064,Manual,Mora severa,1,2023-12-30,Cundinamarca,Soacha,44,F,4,Técnico/Tecnólogo,Desempleado,1500000.0,Campaña digital,456.0,True,0,Android,hash_305776,294,10,5,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,563.0,140.75,0.7843729326427541,1,1500000.0,normal
CR000010,CL00010,2025-04-16,Crédito libre inversión,2100000,24,0.0336,129000,App,874,0.0502,Automática,Mora moderada,1,2024-12-10,Cundinamarca,Soacha,41,F,3,Posgrado,Conductor/Repartidor,2570000.0,Referido,576.0,True,0,Android,hash_162021,127,4,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,511.0,170.33333333333334,0.6412492905470825,1,2570000.0,normal
